Family,Binomial,A (mm^2),N (mm^-2),F (mm^2/mm^2),logA (mm^2),logN (mm^-2),logF (mm^2/mm^2),D (g/cm^3),AbsLat (Degrees),,DATASET VALUES,,,,,,,,
Rhamnaceae,Krugiodendron ferreum,0.002922467,45,0.131510995,-2.534250449,1.653212514,-0.881037935,1.35,,,Family,Plant family,,,,,,,
Fabaceae,Tamarindus indica,0.010386891,9,0.093482016,-1.983514438,0.954242509,-1.029271928,1.28,10.13333333,,Binomial,Plant genus and species,,,,,,,
Anacardiaceae,Astronium urundeuva,0.009503318,15,0.142549767,-2.022124748,1.176091259,-0.846033489,1.21,14,,A (mm^2),Average cross sectional vessel area,,,,,,,-0.116211638
Fabaceae,Dalbergia melanoxylon,0.013273229,7,0.092912603,-1.877023414,0.84509804,-1.031925374,1.2,4.633333334,,N (mm^-2),Number of vessels per unit cross sectional area,,,,,,,
Fabaceae,Swartzia corrugata,0.018385386,4,0.073541542,-1.735527257,0.602059991,-1.133467266,1.2,10,,F (mm^2/mm^2),(F = A*N) Fraction of cross sectional area that is in vessels,,,,,,,
Fabaceae,Caesalpinia paraguariensis,0.003848451,25,0.096211275,-2.414714039,1.397940009,-1.01677403,1.18,,,logA (mm^2),log10 transformation of A,,,,,,,
Fabaceae,Dinizia excelsa,0.0254469,5,0.127234502,-1.594365108,0.698970004,-0.895395104,1.15,5.2,,logN (mm^-2),log10 transformation of N,,,,,,,
Boraginaceae,Patagonula americana,0.004133158,43,0.165483393,-2.38371801,1.633468456,-0.781245583,1.145,20,,logF (mm^2/mm^2),log10 transformation of F,,,,,,,
Bignoniaceae,Tabebuia chrysantha,0.002281189,44,0.124407069,-2.641838738,1.643452676,-0.905154941,1.14,,,D (g/cm^3),Wood density,,,,,,,
Fabaceae,Bocoa prouacensis,0.018385386,3,0.055156157,-1.735527257,0.477121255,-1.258406002,1.11069,10,,AbsLat (Degrees),Average of absolute value of latitude,,,,,,,
Euphorbiaceae,Gymnanthes lucida,0.000855299,50,0.04276493,-3.067882239,1.698970004,-1.368912235,1.1,,,,,,,,,,,
Fabaceae,Dipteryx odorata,0.024052819,8,0.19242255,-1.618834021,0.903089987,-0.715744034,1.09,6.405555556,,,,,,,,,,-0.494448721
Bignoniaceae,Tabebuia serratifolia,0.004964109,8.5,0.042226147,-2.304158683,0.929418926,-1.374418546,1.08,4.608333334,,,,,,,,,,
Erythroxylaceae,Erythroxylum pulchrum,0.001590431,59,0.093835446,-2.798485091,1.770852012,-1.027633079,1.071,,,,,,,,,,,
Fabaceae,Pterocarpus santalinus,0.041547563,2,0.083095126,-1.381454447,0.301029996,-1.080424451,1.06764,16.5,,,,,,,,,,
Sapotaceae,Manilkara bidentata,0.009852035,11,0.10837238,-2.006474073,1.041392685,-0.965081388,1.06,7.15,,,,,,,,,,
Fabaceae,Acacia erioloba,0.015174678,6,0.091048067,-1.818880518,0.77815125,-1.040729268,1.05903,26,,,,,,,,,,
Sapindaceae,Dodonaea viscosa,0.002457511,44.7,0.08751587,-2.609504555,1.649983544,-1.057913185,1.053864,33.075,,,,,,,,,,
Rhizophoraceae,Rhizophora mangle,0.00303329,80,0.100024147,-2.518086042,1.903089987,-0.999895141,1.05,9.25,,,,,,,,,,
Fabaceae,Zollernia paraensis,0.006939778,17,0.117976229,-2.158654411,1.230448921,-0.92820549,1.05,10,,,,,,,,,,
Olacaceae,Minquartia guianensis,0.005026548,28,0.140743351,-2.298730145,1.447158031,-0.851572113,1.04,,,,,,,,,,,
Anacardiaceae,Schinopsis quebracho-colorado,0.017671459,22,0.388772091,-1.752727601,1.342422681,-0.41030492,1.04,,,,,,,,,,,
Moraceae,Brosimum guianense,0.00867865,8.5,0.073356188,-2.061547841,0.929418926,-1.134563242,1.03,5.75,,,,,,,,,,
Fabaceae,Swartzia grandifolia,0.006361725,7,0.044532076,-2.1964251,0.84509804,-1.35132706,1.03,10,,,,,,,,,,
Fabaceae,Swartzia panacoco,0.025026189,3,0.072219456,-1.601605282,0.477121255,-1.14134579,1.03,,,,,,,,,,,
Myrtaceae,Leptospermum scoparium,0.002375829,54,0.12829479,-2.62418474,1.73239376,-0.89179098,1.026,41,,,,,,,,,,
Rhamnaceae,Ziziphus mistol,0.000380133,97,0.036872873,-3.420064757,1.986771734,-1.433293023,1.02,32,,,,,,,,,,
Moraceae,Maclura tinctoria,0.019379307,8,0.158353156,-1.712661758,0.903089987,-0.800373277,1.019,14.5,,,,,,,,,,
Zygophyllaceae,Bulnesia arborea,0.002827433,75,0.212057504,-2.548607618,1.875061263,-0.673546354,1.01,9.5,,,,,,,,,,
Fabaceae,Dalbergia nigra,0.024052819,4,0.048105638,-1.618834021,0.602059991,-1.317804026,1.004,9.5,,,,,,,,,,
Fabaceae,Hymenaea courbaril,0.024052819,3,0.072158456,-1.618834021,0.477121255,-1.141712767,1,15.86666667,,,,,,,,,,
Fabaceae,Swartzia recurva,0.012076282,5,0.060381411,-1.918066748,0.698970004,-1.219096744,1,10,,,,,,,,,,
Fabaceae,Swartzia ulei,0.017671459,2,0.035342917,-1.752727601,0.301029996,-1.451697605,1,10,,,,,,,,,,
Fabaceae,Dichrostachys cinerea,0.015393804,13,0.200119452,-1.812654047,1.113943352,-0.698710695,0.99015,10.13333333,,,,,,,,,,
Fabaceae,Lecointea amazonica,0.00664761,16,0.106361761,-2.177334464,1.204119983,-0.973214481,0.99015,11,,,,,,,,,,
Erythroxylaceae,Erythroxylum havanense,0.000855299,177,0.151387852,-3.067882239,2.247973266,-0.819908973,0.99,,,,,,,,,,,
